Poi_Name,Street_Nam,House_numb,Postcode,Telephone_,Email_addr,Website_ad,Poi_id,Location_a,Easting,Northing,Height,School_typ,Category_1,Category,Number_of_,Branch_nam,No_name,Poi_pictur,Poi_pict_1,,,,,,,,,,
ABC Park,Ogui Road,121,400,,,,POI032062,5,7.498344,6.445458,236.5,Others,Transportation,,,,,,,,,,,,,,,,
103 Bataloon Nigeria Army,Agbani Road,0,400,,,,POI032539,2,7.494291,6.394293,207.800003,Army Barrack,Security,,,,,,,,,,,,,,,,
Police Area Command Headquaters,Abakaliki Road,0,400,,,,POI032479,5,7.523571,6.464367,224.199997,Police Post,Security,,,,,,,,,,,,,,,,
Divisional Police Headquater,Ogwugo Opi Expressway,0,400,,,,POI032554,4,7.515555,6.507975,188.699997,Police Post,Security,,,,,,,,,,,,,,,,
Nigeria Prisons Service,Okpara Avenue,0,400,,,,POI032588,2,7.483458,6.438333,249.300003,Others,Security,,,,,,,,,,,,,,,,
The Nigeria Police Force Abakili Road Enugu,Abakaliki Road,0,400,,,,POI032482,5,7.501441,6.46137,200.800003,Police Post,Security,,,,,,,,,,,,,,,,
"The Nigerian Police Station Divisional Headquarters, Uwani",Zik Avenue,0,400,,,,POI032494,4,7.494101,6.430357,237.5,Police Barrack,Security,,,,,,,,,,,,,,,,
Headquarters 82 Division,Abakaliki Road,0,400,,,,POI032472,5,7.520531,6.46483,204,Army Formation,Security,,,,,,,,,,,,,,,,
Winner Chapel,Abakaliki Road,0,400,,,,POI029459,2,7.546286,6.460347,182,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
All Saints Anglican Church,Abakaliki Road/Okpara Avenue,0,400,,,,POI029853,2,7.495243,6.457057,232.899994,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
Anglican  Communion,Trans Ekulu,0,400,,,,POI030697,5,7.499139,6.473848,194.699997,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
Assemblies Of God Church,Amuri Road,16,400,,,,POI030908,3,7.513161,6.482287,215.899994,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
Assemblies Of God Church,Nike Lake Road,0,400,,,,POI029937,5,7.501035,6.486303,219.699997,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
Blessed Sacrament Oratory,Nza Street,78,400,,,,POI029794,2,7.533226,6.45092,189.100006,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
Brother Hood Of Cross And Star,Abakaliki Road,0,400,,,,POI029404,5,7.540304,6.461228,197,,Religious Body/Place Of Worship,Wholesale,,,,,,,,,,,,,,,
Calvary Church Of God,Amechi,0,400,,,,POI030929,2,7.495636,6.406829,208.300003,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
Charles Wesley Methoist Church,Umuawulu Street,0,400,,,,POI029769,2,7.522611,6.433522,234.800003,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
Deeper Life Bible Church,Amuri Road,89,400,,,,POI030712,5,7.50598,6.481895,239.600006,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
Deeper Life Bible Church,Independence Avenue,0,400,,,,POI029307,2,7.533637,6.445063,195.100006,,Religious Body/Place Of Worship,Wholesale,,,,,,,,,,,,,,,
Dominion City Church,Presidential Road,11,400,,,,POI030741,5,7.502282,6.441428,219,,Religious Body/Place Of Worship,,,,,,,,,,,,,,,,
The Glory Of Christ Bible Church,T Junction Nike Lake Resort Road,0,400,,,,POI030055,2,7.514388,6.500221,196.5,,Religious Body/Place of Worship,,,,,,,,,,,,,,,,
The Lords Chosen Charismatic Revival,46 Pocket Layout Enugu Onitsha Expressway,0,400,,,,POI030682,3,7.493251,6.471488,209.300003,,Religious Body/Place of Worship,,,,,,,,,,,,,,,,
Faith Tabernacle Congregation Nigeria,O'Connor Street,24,400,8067712456,,,POI030779,5,7.500162,6.442738,197,,Religious Body/Place of Worship,,,,,,,,,,,,,,,,
Full Gospel Business Men Fellowship International,Nike Lake Road,0,400,,,,POI030175,4,7.500788,6.485695,239.5,,Religious Body/Place of Worship,,,,,,,,,,,,,,,,
Full Gospel Holy Sabbath Mission,Onu Orie Expressway Amechi,0,400,,,,POI029717,2,7.515483,6.395221,192,,Religious Body/Place of Worship,Wholesale,,,,,,,,,,,,,,,
